id,country,continent,capital
105,Malta,Europe,Valletta,[Valletta,Birkirkara,Mosta,Sliema]
106,Marshall Islands,Oceania,Majuro,[Majuro,Ebeye,Laura,Delap-Uliga-Djarrit]
107,Mauritania,Africa,Nouakchott,[Nouakchott,Nouadhibou,Kiffa,Zouérat]
108,Mauritius,Africa,Port Louis,[Port Louis,Beau Bassin-Rose Hill,Vacoas-Phoenix,Curepipe]
109,Mexico,North America,Mexico City,[Mexico City,Guadalajara,Mexicali,Tijuana]
110,Micronesia,Oceania,Palikir,[Palikir,Kolonia,Weno,Tofol]
111,Moldova,Europe,Chisinau,[Chisinau,Tiraspol,Bălți,Bender]
112,Monaco,Europe,Monaco,[Monaco,Monte Carlo,Fontvieille,La Condamine]
113,Mongolia,Asia,Ulaanbaatar,[Ulaanbaatar,Erdenet,Darkhan,Choibalsan]
114,Montenegro,Europe,Podgorica,[Podgorica,Nikšić,Herceg Novi,Pljevlja]
115,Morocco,Africa,Rabat,[Rabat,Casablanca,Fes,Tangier]
116,Mozambique,Africa,Maputo,[Maputo,Matola,Beira,Nampula]
117,Myanmar (formerly Burma),Asia,Naypyidaw,[Naypyidaw,Yangon,Mandalay,Mawlamyine]
118,Namibia,Africa,Windhoek,[Windhoek,Rundu,Walvis Bay,Oshakati]
119,Nauru,Oceania,Yaren,[Yaren,Denigomodu,Anabar,Uaboe]
120,Nepal,Asia,Kathmandu,[Kathmandu,Pokhara,Lalitpur,Bharatpur]
121,Netherlands,Europe,Amsterdam,[Amsterdam,Rotterdam,The Hague,Utrecht]
122,New Zealand,Oceania,Wellington,[Wellington,Auckland,Christchurch,Hamilton]
123,Nicaragua,North America,Managua,[Managua,León,Matagalpa,Chinandega]
124,Niger,Africa,Niamey,[Niamey,Zinder,Maradi,Agadez]
125,Nigeria,Africa,Abuja,[Abuja,Lagos,Kano,Ibadan]
126,North Korea,Asia,Pyongyang,[Pyongyang,Hamhung,Nampo,Wonsan]
127,North Macedonia,Europe,Skopje,[Skopje,Bitola,Kumanovo,Prilep]
128,Norway,Europe,Oslo,[Oslo,Bergen,Trondheim,Stavanger]
129,Oman,Asia,Muscat,[Muscat,Salalah,Sohar,Nizwa]
130,Pakistan,Asia,Islamabad,[Islamabad,Karachi,Lahore,Faisalabad]
131,Palau,Oceania,Ngerulmud,[Ngerulmud,Koror,Melekeok,Ulimang]
132,Palestine State,Asia,Ramallah,[Ramallah,Gaza,Hebron,Nablus]
133,Panama,North America,Panama City,[Panama City,Colón,David,Santiago de Veraguas]
134,Papua New Guinea,Oceania,Port Moresby,[Port Moresby,Lae,Arawa,Mount Hagen]
135,Paraguay,South America,Asunción,[Asunción,Ciudad del Este,San Lorenzo,Luque]
136,Peru,South America,Lima,[Lima,Arequipa,Trujillo,Chiclayo]
137,Philippines,Asia,Manila,[Manila,Quezon City,Cebu City,Davao City]
138,Poland,Europe,Warsaw,[Warsaw,Kraków,Wrocław,Poznań]
139,Portugal,Europe,Lisbon,[Lisbon,Porto,Vila Nova de Gaia,Amadora]
140,Qatar,Asia,Doha,[Doha,Al Wakrah,Al Khor,Al Rayyan]
141,Romania,Europe,Bucharest,[Bucharest,Cluj-Napoca,Timisoara,Iasi]
142,Russia,Europe,Moscow,[Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg]
143,Rwanda,Africa,Kigali,[Kigali,Butare,Ruhengeri,Gisenyi]
144,Saint Kitts and Nevis,North America,Basseterre,[Basseterre,Saint Paul’s,Charlestown,Sandy Point Town]
145,Saint Lucia,North America,Castries,[Castries,Gros Islet,Vieux Fort,Micoud]
146,Saint Vincent and the Grenadines,North America,Kingstown,[Kingstown,Georgetown,Barrouallie,Chateaubelair]
147,Samoa,Oceania,Apia,[Apia,Faleolo,Lufilufi,Salelologa]
148,San Marino,Europe,San Marino,[San Marino,Serravalle,Borgo Maggiore,Domagnano]
149,Sao Tome and Principe,Africa,Sao Tome,[Sao Tome,Santo Antonio,Santana,Trindade]
150,Saudi Arabia,Asia,Riyadh,[Riyadh,Jeddah,Mecca,Dammam]
151,Senegal,Africa,Dakar,[Dakar,Touba,Thiès,Saint-Louis]
152,Serbia,Europe,Belgrade,[Belgrade,Novi Sad,Niš,Subotica]
153,Seychelles,Africa,Victoria,[Victoria,Anse Boileau,Anse Royale,Beau Vallon]
154,Sierra Leone,Africa,Freetown,[Freetown,Bo,Kenema,Koidu Town]
155,Singapore,Asia,Singapore,[Singapore,Tampines,Jurong East,Woodlands]
156,Slovakia,Europe,Bratislava,[Bratislava,Košice,Prešov,Žilina]
157,Slovenia,Europe,Ljubljana,[Ljubljana,Maribor,Celje,Kranj]
158,Solomon Islands,Oceania,Honiara,[Honiara,Auki,Gizo,Buala]
159,Somalia,Africa,Mogadishu,[Mogadishu,Hargeisa,Bosaso,Kismayo]
160,South Africa,Africa,Pretoria,[Pretoria,Johannesburg,Cape Town,Durban]
161,South Korea,Asia,Seoul,[Seoul,Busan,Incheon,Daegu]
162,South Sudan,Africa,Juba,[Juba,Wau,Malakal,Bor]
163,Spain,Europe,Madrid,[Madrid,Barcelona,Valencia,Seville]
164,Sri Lanka,Asia,Colombo,[Colombo,Galle,Kandy,Nuwara Eliya]
165,Sudan,Africa,Khartoum,[Khartoum,Omdurman,Port Sudan,Kassala]
166,Suriname,South America,Paramaribo,[Paramaribo,Lelydorp,Nieuw Nickerie,Moengo]
167,Sweden,Europe,Stockholm,[Stockholm,Gothenburg,Malmö,Uppsala]
168,Switzerland,Europe,Bern,[Bern,Zurich,Geneva,Basel]
169,Syria,Asia,Damascus,[Damascus,Aleppo,Homs,Latakia]
170,Tajikistan,Asia,Dushanbe,[Dushanbe,Khujand,Kulob,Qurghonteppa]
171,Tanzania,Africa,Dodoma,[Dodoma,Dar es Salaam,Mwanza,Zanzibar City]
172,Thailand,Asia,Bangkok,[Bangkok,Chiang Mai,Phuket,Nonthaburi]
173,Timor-Leste,Asia,Dili,[Dili,Baucau,Aileu,Same]
174,Togo,Africa,Lomé,[Lomé,Sokodé,Kara,Atakpamé]
175,Tonga,Oceania,Nuku'alofa,[Nuku'alofa,Neiafu,Ha'apai,Vava'u]
176,Trinidad and Tobago,North America,Port of Spain,[Port of Spain,Chaguanas,San Fernando,Arima]
177,Tunisia,Africa,Tunis,[Tunis,Sfax,Sousse,Kairouan]
178,Turkey,Asia,Ankara,[Ankara,Istanbul,Izmir,Bursa]
179,Turkmenistan,Asia,Ashgabat,[Ashgabat,Turkmenabat,Daşoguz,Mary]
180,Tuvalu,Oceania,Funafuti,[Funafuti,Alapi,Tofia,Asau]
181,Uganda,Africa,Kampala,[Kampala,Mbale,Gulu,Lira]
182,Ukraine,Europe,Kyiv,[Kyiv,Kharkiv,Odessa,Dnipro]
183,United Arab Emirates,Asia,Abu Dhabi,[Abu Dhabi,Dubai,Sharjah,Al Ain]
184,United Kingdom,Europe,London,[London,Birmingham,Manchester,Liverpool]
185,United States of America,North America,Washington D.C.,[Washington D.C.,New York,Los Angeles,Chicago]
186,Uruguay,South America,Montevideo,[Montevideo,Salto,Ciudad de la Costa,Paysandú]
187,Uzbekistan,Asia,Tashkent,[Tashkent,Namangan,Andijan,Samarkand]
188,Vanuatu,Oceania,Port Vila,[Port Vila,Luganville,Norsup,Isangel]
189,Venezuela,South America,Caracas,[Caracas,Maracaibo,Valencia,Barquisimeto]
190,Vietnam,Asia,Hanoi,[Hanoi,Ho Chi Minh City,Hai Phong,Can Tho]
191,Yemen,Asia,Sana'a,[Sana'a,Aden,Al Hudaydah,Al Mukalla]
192,Zambia,Africa,Lusaka,[Lusaka,Kitwe,Ndola,Kabwe]
193,Zimbabwe,Africa,Harare,[Harare,Bulawayo,Chitungwiza,Mutare]
